ticker,fg_bucket,count,avg_fwd1,avg_fwd5,avg_fwd20,std_fwd20,min_fwd20,max_fwd20
DIA,extreme fear,548,0.0005782308201160489,0.0035928814131522577,0.01611222392451995,0.05685595921966964,-0.23664573328407834,0.2368774512437544
DIA,extreme greed,424,0.0006116036715419028,0.002897500257854964,0.00717327131678825,0.022418187655418448,-0.058946455326867035,0.05015422944596028
DIA,fear,927,0.00046185634317425314,0.0030071515473225428,0.010356556334998712,0.0439010449356268,-0.33768205977773175,0.1450476763164676
DIA,greed,1223,0.00039595165596043773,0.0010779041998354895,0.005040885556475634,0.03454656529337916,-0.3125212195287567,0.08454700208057486
DIA,neutral,565,0.00035204442479341456,0.000951180942349188,0.006223748991967681,0.041839408931945585,-0.32203332199932005,0.1018692351644764
QQQ,extreme fear,548,0.0009463132766061252,0.005623561606775984,0.02159406386696596,0.06353403319720376,-0.16455870222711025,0.2513880685174247
QQQ,extreme greed,424,0.000833601237622598,0.004413931620594078,0.01581547577118162,0.03511713572507952,-0.09342230695900876,0.08652635366073025
QQQ,fear,927,0.0007147401347644733,0.004288441782809635,0.015088490227499831,0.05535241424990132,-0.25869631302384166,0.18706118355065196
QQQ,greed,1223,0.0006514011436561342,0.002628944056480035,0.012051385336156736,0.04490594933269751,-0.2784691442209341,0.1504063311066672
QQQ,neutral,565,0.0006091155241937632,0.0012582092436672627,0.010468184952524624,0.053627503958069644,-0.25478943370748586,0.17596755708366374
SPY,extreme fear,548,0.0006655033809333533,0.004043584868943856,0.01653376543010204,0.057658468724304975,-0.22229329921637606,0.2307255244755243
SPY,extreme greed,424,0.0006137681585498108,0.0029925833068809075,0.009066587632053978,0.024434239909087822,-0.06925223695946138,0.05793100496490338
SPY,fear,927,0.0005080665353075235,0.0032862194070449368,0.011601238560215952,0.04592601474690037,-0.3139018831714046,0.13757516973811826
SPY,greed,1223,0.0004499586799498577,0.0016563187552805921,0.007592745841349668,0.034311140818415874,-0.2895438388625593,0.0967628904881271
SPY,neutral,565,0.0005185555853814475,0.00101587321178857,0.0068412274929044855,0.04310621205312542,-0.29065437134243655,0.11079905469740028
